,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
30,30,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,146215,146215,0,1,86,146215,146215,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
31,31,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,141535,141535,0,1,86,141535,141535,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
32,32,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,138493,138493,0,1,86,138493,138493,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
33,33,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,141708,141708,0,1,86,141708,141708,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
34,34,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,177991,177991,0,1,60,177991,177991,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
35,35,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,263495,263495,0,1,86,263495,263495,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
36,36,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,267709,267709,0,1,86,267709,267709,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
37,37,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,269039,269039,0,1,86,269039,269039,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
38,38,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,265544,265544,0,1,86,265544,265544,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
39,39,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,263541,263541,0,1,86,263541,263541,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
40,40,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,266497,266497,0,1,86,266497,266497,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
41,41,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,267710,267710,0,1,86,267710,267710,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
42,42,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,269501,269501,0,1,86,269501,269501,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
43,43,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,303430,303430,0,1,60,303430,303430,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
48,48,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,388934,390744,1810,2,284,388934,390744,1810,2,284,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
49,49,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,392036,392036,0,1,86,392036,392036,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
50,50,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,390043,390043,0,1,86,390043,390043,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
51,51,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,395002,395002,0,1,86,395002,395002,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
52,52,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,395212,395212,0,1,86,395212,395212,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
53,53,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,389214,389214,0,1,86,389214,389214,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
54,54,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,272496,388993,116497,2,172,272496,388993,116497,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
55,55,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,273207,391207,118000,2,172,273207,391207,118000,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
56,56,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,394540,394540,0,1,86,394540,394540,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
57,57,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,428870,428870,0,1,60,428870,428870,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
59,59,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:f72,33:33:ff:00:0f:72,33:33:ff,0,58,6,0,0,201143,201143,0,1,86,201143,201143,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
61,61,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,514373,514373,0,1,86,514373,514373,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
62,62,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,397996,515495,117499,2,172,397996,515495,117499,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
63,63,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,517709,517709,0,1,86,517709,517709,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
64,64,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,515043,515043,0,1,86,515043,515043,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
65,65,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,522216,522216,0,1,86,522216,522216,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
66,66,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,517036,517036,0,1,86,517036,517036,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
67,67,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,522544,522544,0,1,86,522544,522544,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
70,70,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,517498,517498,0,1,86,517498,517498,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
71,71,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,518210,518210,0,1,86,518210,518210,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
72,72,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,519501,519501,0,1,86,519501,519501,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
76,76,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,554309,554309,0,1,60,554309,554309,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
82,82,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,639448,639813,365,2,284,639448,639813,365,2,284,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
83,83,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,644039,644039,0,1,86,644039,644039,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
84,84,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,642709,642709,0,1,86,642709,642709,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
85,85,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,640215,640215,0,1,86,640215,640215,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
86,86,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,640543,640543,0,1,86,640543,640543,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
87,87,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,639994,639994,0,1,86,639994,639994,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
89,89,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,644039,644039,0,1,86,644039,644039,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
91,91,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,648997,648997,0,1,86,648997,648997,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
94,94,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,679748,679748,0,1,60,679748,679748,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
97,97,0,192.168.1.166,a4:5e:60:dd:58:1d,a4:5e:60,138,192.168.1.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,138,17,4,0,0,279594,280205,611,3,648,279594,280205,611,3,648,0,0,0,0,0,NetBIOS.SMBv1,System,0,6,macbookpro-581d,,,,
99,99,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,765252,765252,0,1,86,765252,765252,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
100,100,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,648707,767207,118500,2,172,648707,767207,118500,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
101,101,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,769500,769500,0,1,86,769500,769500,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
102,102,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ff00:4f7,33:33:ff:00:04:f7,33:33:ff,0,58,6,0,0,646493,765995,119502,2,172,646493,765995,119502,2,172,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
103,103,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,769038,769038,0,1,86,769038,769038,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
104,104,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,766707,766707,0,1,86,766707,766707,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
105,105,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffcc:1f02,33:33:ff:cc:1f:02,33:33:ff,0,58,6,0,0,773496,773496,0,1,86,773496,773496,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
106,106,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,765543,765543,0,1,86,765543,765543,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
107,107,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,768209,768209,0,1,86,768209,768209,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
108,108,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff20:1e83,33:33:ff:20:1e:83,33:33:ff,0,58,6,0,0,770540,770540,0,1,86,770540,770540,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
111,111,0,192.168.1.168,f4:f5:d8:45:9f:1a,f4:f5:d8,5353,224.0.0.251,01:00:5e:00:00:fb,01:00:5e,5353,17,4,0,0,686537,747977,61440,2,768,686537,747977,61440,2,768,0,0,0,0,0,MDNS,Network,0,6,_googlecast._tcp.local,,,,
113,113,0,0.0.0.0,d8:58:d7:00:0f:72,d8:58:d7,0,224.0.0.1,01:00:5e:00:00:01,01:00:5e,0,2,4,0,0,805188,805188,0,1,60,805188,805188,0,1,60,0,0,0,0,0,IGMP,Network,0,6,,,,,
119,119,0,fe80::f106:5909:32ae:f4cb,08:00:27:11:4e:fa,08:00:27,0,ff02::1:ffae:f4cb,33:33:ff:ae:f4:cb,33:33:ff,0,58,6,0,0,892998,892998,0,1,86,892998,892998,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
120,120,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:b30,33:33:ff:00:0b:30,33:33:ff,0,58,6,0,0,896714,896714,0,1,86,896714,896714,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
121,121,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff00:f72,33:33:ff:00:0f:72,33:33:ff,0,58,6,0,0,625909,850324,224415,4,344,625909,850324,224415,4,344,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
123,123,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff62:aec8,33:33:ff:62:ae:c8,33:33:ff,0,58,6,0,0,892207,892207,0,1,86,892207,892207,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
124,124,0,fe80::e8ff:97da:2f7f:abb3,08:00:27:38:31:62,08:00:27,0,ff02::1:ff7f:abb3,33:33:ff:7f:ab:b3,33:33:ff,0,58,6,0,0,894210,894210,0,1,86,894210,894210,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
125,125,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff2b:5398,33:33:ff:2b:53:98,33:33:ff,0,58,6,0,0,896541,896541,0,1,86,896541,896541,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
126,126,0,fe80::5dd3:6bb3:7720:1e83,08:00:27:52:f4:11,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,894038,894038,0,1,86,894038,894038,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
